"Statistic Label","Year","Electoral Division","UNIT","VALUE"
"Median Gross Household Income","2022","Rotunda A, Dublin City","€","44032"
"Median Gross Household Income","2022","Rotunda B, Dublin City","€","48110"
"Median Gross Household Income","2022","Royal Exchange A, Dublin City","€","56399"
"Median Gross Household Income","2022","Royal Exchange B, Dublin City","€","38475"
"Median Gross Household Income","2022","Saint Kevin's, Dublin City","€","67409"
"Median Gross Household Income","2022","South Dock, Dublin City","€","94086"
"Median Gross Household Income","2022","Terenure A, Dublin City","€","79615"
"Median Gross Household Income","2022","Terenure B, Dublin City","€","82188"
"Median Gross Household Income","2022","Terenure C, Dublin City","€","109069"
"Median Gross Household Income","2022","Terenure D, Dublin City","€","109069"
"Median Gross Household Income","2022","Ushers A, Dublin City","€","92342"
"Median Gross Household Income","2022","Ushers B, Dublin City","€","50020"
"Median Gross Household Income","2022","Ushers C, Dublin City","€","48092"
"Median Gross Household Income","2022","Ushers D, Dublin City","€","49876"
"Median Gross Household Income","2022","Ushers E, Dublin City","€","45137"
"Median Gross Household Income","2022","Ushers F, Dublin City","€","69380"
"Median Gross Household Income","2022","Walkinstown A, Dublin City","€","63577"
"Median Gross Household Income","2022","Walkinstown B, Dublin City","€","62006"
"Median Gross Household Income","2022","Walkinstown C, Dublin City","€","61757"
"Median Gross Household Income","2022","Whitehall A, Dublin City","€","69441"
"Median Gross Household Income","2022","Whitehall B, Dublin City","€","63310"
"Median Gross Household Income","2022","Whitehall C, Dublin City","€","71209"
"Median Gross Household Income","2022","Whitehall D, Dublin City","€","69196"
"Median Gross Household Income","2022","Wood Quay A, Dublin City","€","34437"
"Median Gross Household Income","2022","Wood Quay B, Dublin City","€","58833"
"Median Gross Household Income","2022","Ballinascorney, South Dublin","€","67118"
"Median Gross Household Income","2022","Ballyboden, South Dublin","€","90196"
"Median Gross Household Income","2022","Bohernabreena, South Dublin","€","82826"
"Median Gross Household Income","2022","Clondalkin Village, South Dublin","€","63594"
"Median Gross Household Income","2022","Clondalkin-Ballymount, South Dublin","€","75942"
"Median Gross Household Income","2022","Clondalkin-Cappaghmore, South Dublin","€","53417"
"Median Gross Household Income","2022","Clondalkin-Dunawley, South Dublin","€","56395"
"Median Gross Household Income","2022","Clondalkin-Monastery, South Dublin","€","64301"
"Median Gross Household Income","2022","Clondalkin-Moorfield, South Dublin","€","57248"
"Median Gross Household Income","2022","Clondalkin-Rowlagh, South Dublin","€","50473"
